Monitoring Location ID,Monitoring Location Name,Monitoring Location Latitude,Monitoring Location Longitude
LMT,Mala Tavern,20.887449,-156.685048
LMR,Mala Ramp,20.885373,-156.686429
LPS,Papalaua St.,20.876911,-156.681359
LLH,Lahaina Harbor,20.871933,-156.678624
