Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
KKS	KKS180109:SR:WB:	Sample-Routine	01/09/2018	08:35	1002	Water Bottle		Total Nitrogen, mixed forms	as N		125.28	ug/l	Filtered, field	4500-N	APHA			
KKS	KKS180109:SR:WB:	Sample-Routine	01/09/2018	08:35	1002	Water Bottle		Total Phosphorus, mixed forms	as P		15.69	ug/l	Filtered, field	4500-P	APHA			
KKS	KKS180109:SR:WB:	Sample-Routine	01/09/2018	08:35	1002	Water Bottle		Orthophosphate	as P		8.96	ug/l	Filtered, field	365.5	USEPA			
KKS	KKS180109:SR:WB:	Sample-Routine	01/09/2018	08:35	1002	Water Bottle		Silicate			617.53	ug/l	Filtered, field	366	USEPA			
KKS	KKS180109:SR:WB:	Sample-Routine	01/09/2018	08:35	1002	Water Bottle		Nitrate + Nitrite	as N		43.47	ug/l	Filtered, field	353.4	USEPA			
KKS	KKS180109:SR:WB:	Sample-Routine	01/09/2018	08:35	1002	Water Bottle		Ammonium	as N		4.55	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
RPO	RPO180109:FM:PS:TS:	Field Msr/Obs	01/09/2018	08:47	1002	Probe/Sensor	HACH CDC401	Temperature, water			24.1	deg C		2550	APHA			
RPO	RPO180109:FM:PS:DO:	Field Msr/Obs	01/09/2018	08:47	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.80	mg/l		8157	HACH			
RPO	RPO180109:FM:PS:DO:	Field Msr/Obs	01/09/2018	08:47	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			97.6	%		8157	HACH			
RPO	RPO180109:FM:WB:	Field Msr/Obs	01/09/2018	08:47	1002	Water Bottle	HACH 2100Q	Turbidity			2.45	NTU		180.1	USEPA			
