Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
RNS	RNS200107:FM:PS:TS:	Field Msr/Obs	01/07/2020	08:11	1002	Probe/Sensor	HACH CDC401	Temperature, water			23.9	deg C		2550	APHA			
RNS	RNS200107:FM:PS:DO:	Field Msr/Obs	01/07/2020	08:11	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.64	mg/l		8157	HACH			
RNS	RNS200107:FM:PS:DO:	Field Msr/Obs	01/07/2020	08:11	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			95.7	%		8157	HACH			
RNS	RNS200107:FM:WB:	Field Msr/Obs	01/07/2020	08:11	1002	Water Bottle	HACH 2100Q	Turbidity			3.32	NTU		180.1	USEPA			
RNS	RNS200107:FM:PS:PH:	Field Msr/Obs	01/07/2020	08:11	1002	Probe/Sensor	HACH PHC101	pH			8.17	None		8156	HACH			
RNS	RNS200107:FM:PS:TS:	Field Msr/Obs	01/07/2020	08:11	1002	Probe/Sensor	HACH CDC401	Salinity			35.4	ppt		8160	HACH			
RNS	RNS200107:SR:WB:	Sample-Routine	01/07/2020	08:11	1002	Water Bottle		Total Nitrogen, mixed forms	as N		99.26	ug/l	Filtered, field	4500-N	APHA			
RNS	RNS200107:SR:WB:	Sample-Routine	01/07/2020	08:11	1002	Water Bottle		Total Phosphorus, mixed forms	as P		12.41	ug/l	Filtered, field	4500-P	APHA			
RNS	RNS200107:SR:WB:	Sample-Routine	01/07/2020	08:11	1002	Water Bottle		Orthophosphate	as P		7.31	ug/l	Filtered, field	365.5	USEPA			
RNS	RNS200107:SR:WB:	Sample-Routine	01/07/2020	08:11	1002	Water Bottle		Silicate			424.05	ug/l	Filtered, field	366	USEPA			
RNS	RNS200107:SR:WB:	Sample-Routine	01/07/2020	08:11	1002	Water Bottle		Nitrate + Nitrite	as N		23.88	ug/l	Filtered, field	353.4	USEPA			
RNS	RNS200107:SR:WB:	Sample-Routine	01/07/2020	08:11	1002	Water Bottle		Ammonium	as N		1.43	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
RPO	RPO200107:FM:PS:TS:	Field Msr/Obs	01/07/2020	08:40	1002	Probe/Sensor	HACH CDC401	Temperature, water			24.3	deg C		2550	APHA			
RPO	RPO200107:FM:PS:DO:	Field Msr/Obs	01/07/2020	08:40	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.53	mg/l		8157	HACH			
RPO	RPO200107:FM:PS:DO:	Field Msr/Obs	01/07/2020	08:40	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			93.1	%		8157	HACH			
RPO	RPO200107:FM:WB:	Field Msr/Obs	01/07/2020	08:40	1002	Water Bottle	HACH 2100Q	Turbidity			4.13	NTU		180.1	USEPA			
RPO	RPO200107:FM:PS:PH:	Field Msr/Obs	01/07/2020	08:40	1002	Probe/Sensor	HACH PHC101	pH			8.20	None		8156	HACH			
RPO	RPO200107:FM:PS:TS:	Field Msr/Obs	01/07/2020	08:40	1002	Probe/Sensor	HACH CDC401	Salinity			32.6	ppt		8160	HACH			
RPO	RPO200107:SR:WB:	Sample-Routine	01/07/2020	08:40	1002	Water Bottle		Total Nitrogen, mixed forms	as N		347.78	ug/l	Filtered, field	4500-N	APHA			
RPO	RPO200107:SR:WB:	Sample-Routine	01/07/2020	08:40	1002	Water Bottle		Total Phosphorus, mixed forms	as P		17.39	ug/l	Filtered, field	4500-P	APHA			
RPO	RPO200107:SR:WB:	Sample-Routine	01/07/2020	08:40	1002	Water Bottle		Orthophosphate	as P		15.28	ug/l	Filtered, field	365.5	USEPA			
RPO	RPO200107:SR:WB:	Sample-Routine	01/07/2020	08:40	1002	Water Bottle		Silicate			1736.61	ug/l	Filtered, field	366	USEPA			
RPO	RPO200107:SR:WB:	Sample-Routine	01/07/2020	08:40	1002	Water Bottle		Nitrate + Nitrite	as N		274.45	ug/l	Filtered, field	353.4	USEPA			
