Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Project ID 1	Project ID 2	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
NKN	NKN210914:FM:PS:TS:	Field Msr/Obs	09/14/2021	08:01	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			25.4	deg C		2550	APHA			
NKN	NKN210914:FM:PS:DO:	Field Msr/Obs	09/14/2021	08:01	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.23	mg/l		8157	HACH			
NKN	NKN210914:FM:PS:DO:	Field Msr/Obs	09/14/2021	08:01	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			91.9	%		8157	HACH			
NKN	NKN210914:FM:WB:	Field Msr/Obs	09/14/2021	08:01	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			2.52	NTU		180.1	USEPA			
NKN	NKN210914:FM:PS:PH:	Field Msr/Obs	09/14/2021	08:01	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.12	None		8156	HACH			
NKN	NKN210914:FM:PS:TS:	Field Msr/Obs	09/14/2021	08:01	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			33.5	ppt		8160	HACH			
NKN	NKN210914:SR:WB:	Sample-Routine	09/14/2021	08:01	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		221.02	ug/l	Filtered, field	4500-N	APHA			
NKN	NKN210914:SR:WB:	Sample-Routine	09/14/2021	08:01	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		27.80	ug/l	Filtered, field	4500-P	APHA			
NKN	NKN210914:SR:WB:	Sample-Routine	09/14/2021	08:01	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		14.77	ug/l	Filtered, field	365.5	USEPA			
NKN	NKN210914:SR:WB:	Sample-Routine	09/14/2021	08:01	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			2096.42	ug/l	Filtered, field	366	USEPA			
NKN	NKN210914:SR:WB:	Sample-Routine	09/14/2021	08:01	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		121.74	ug/l	Filtered, field	353.4	USEPA			
NKN	NKN210914:SR:WB:	Sample-Routine	09/14/2021	08:01	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		3.87	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
KWP	KWP210914:FM:PS:TS:	Field Msr/Obs	09/14/2021	08:18	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			24.7	deg C		2550	APHA			
KWP	KWP210914:FM:PS:DO:	Field Msr/Obs	09/14/2021	08:18	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			5.86	mg/l		8157	HACH			
KWP	KWP210914:FM:PS:DO:	Field Msr/Obs	09/14/2021	08:18	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			85.2	%		8157	HACH			
KWP	KWP210914:FM:WB:	Field Msr/Obs	09/14/2021	08:18	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			18.17	NTU		180.1	USEPA			
KWP	KWP210914:FM:PS:PH:	Field Msr/Obs	09/14/2021	08:18	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.05	None		8156	HACH			
KWP	KWP210914:FM:PS:TS:	Field Msr/Obs	09/14/2021	08:18	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			33.0	ppt		8160	HACH			
KWP	KWP210914:SR:WB:	Sample-Routine	09/14/2021	08:18	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		136.98	ug/l	Filtered, field	4500-N	APHA			
KWP	KWP210914:SR:WB:	Sample-Routine	09/14/2021	08:18	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		14.02	ug/l	Filtered, field	4500-P	APHA			
KWP	KWP210914:SR:WB:	Sample-Routine	09/14/2021	08:18	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		8.96	ug/l	Filtered, field	365.5	USEPA			
KWP	KWP210914:SR:WB:	Sample-Routine	09/14/2021	08:18	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			1126.64	ug/l	Filtered, field	366	USEPA			
KWP	KWP210914:SR:WB:	Sample-Routine	09/14/2021	08:18	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		42.79	ug/l	Filtered, field	353.4	USEPA			
KWP	KWP210914:SR:WB:	Sample-Routine	09/14/2021	08:18	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		2.41	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
KKS	KKS210914:FM:PS:TS:	Field Msr/Obs	09/14/2021	08:37	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			25.4	deg C		2550	APHA			
KKS	KKS210914:FM:PS:DO:	Field Msr/Obs	09/14/2021	08:37	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			5.99	mg/l		8157	HACH			
KKS	KKS210914:FM:PS:DO:	Field Msr/Obs	09/14/2021	08:37	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			88.8	%		8157	HACH			
KKS	KKS210914:FM:WB:	Field Msr/Obs	09/14/2021	08:37	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			17.63	NTU		180.1	USEPA			
KKS	KKS210914:FM:PS:PH:	Field Msr/Obs	09/14/2021	08:37	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.07	None		8156	HACH			
KKS	KKS210914:FM:PS:TS:	Field Msr/Obs	09/14/2021	08:37	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			34.0	ppt		8160	HACH			
KKS	KKS210914:SR:WB:	Sample-Routine	09/14/2021	08:37	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		160.13	ug/l	Filtered, field	4500-N	APHA			
KKS	KKS210914:SR:WB:	Sample-Routine	09/14/2021	08:37	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		12.67	ug/l	Filtered, field	4500-P	APHA			
KKS	KKS210914:SR:WB:	Sample-Routine	09/14/2021	08:37	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		9.07	ug/l	Filtered, field	365.5	USEPA			
KKS	KKS210914:SR:WB:	Sample-Routine	09/14/2021	08:37	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			880.40	ug/l	Filtered, field	366	USEPA			
KKS	KKS210914:SR:WB:	Sample-Routine	09/14/2021	08:37	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		66.51	ug/l	Filtered, field	353.4	USEPA			
KKS	KKS210914:SR:WB:	Sample-Routine	09/14/2021	08:37	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		3.28	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
KKP	KKP210914:FM:PS:TS:	Field Msr/Obs	09/14/2021	09:06	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			26.1	deg C		2550	APHA			
KKP	KKP210914:FM:PS:DO:	Field Msr/Obs	09/14/2021	09:06	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.33	mg/l		8157	HACH			
KKP	KKP210914:FM:PS:DO:	Field Msr/Obs	09/14/2021	09:06	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			95.6	%		8157	HACH			
KKP	KKP210914:FM:WB:	Field Msr/Obs	09/14/2021	09:06	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			8.89	NTU		180.1	USEPA			
KKP	KKP210914:FM:PS:PH:	Field Msr/Obs	09/14/2021	09:06	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.11	None		8156	HACH			
KKP	KKP210914:FM:PS:TS:	Field Msr/Obs	09/14/2021	09:06	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			35.3	ppt		8160	HACH			
KKP	KKP210914:SR:WB:	Sample-Routine	09/14/2021	09:06	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		108.09	ug/l	Filtered, field	4500-N	APHA			
KKP	KKP210914:SR:WB:	Sample-Routine	09/14/2021	09:06	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		12.40	ug/l	Filtered, field	4500-P	APHA			
KKP	KKP210914:SR:WB:	Sample-Routine	09/14/2021	09:06	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		6.86	ug/l	Filtered, field	365.5	USEPA			
KKP	KKP210914:SR:WB:	Sample-Routine	09/14/2021	09:06	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			279.89	ug/l	Filtered, field	366	USEPA			
KKP	KKP210914:SR:WB:	Sample-Routine	09/14/2021	09:06	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		20.38	ug/l	Filtered, field	353.4	USEPA			
KKP	KKP210914:SR:WB:	Sample-Routine	09/14/2021	09:06	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		4.11	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
KCP	KCP210915:FM:PS:TS:	Field Msr/Obs	09/15/2021	08:50	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			26.0	deg C		2550	APHA			
KCP	KCP210915:FM:PS:DO:	Field Msr/Obs	09/15/2021	08:50	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.37	mg/l		8157	HACH			
KCP	KCP210915:FM:PS:DO:	Field Msr/Obs	09/15/2021	08:50	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			94.6	%		8157	HACH			
KCP	KCP210915:FM:WB:	Field Msr/Obs	09/15/2021	08:50	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			7.59	NTU		180.1	USEPA			
KCP	KCP210915:FM:PS:PH:	Field Msr/Obs	09/15/2021	08:50	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.10	None		8156	HACH			
KCP	KCP210915:FM:PS:TS:	Field Msr/Obs	09/15/2021	08:50	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			32.9	ppt		8160	HACH			
KCP	KCP210915:SR:WB:	Sample-Routine	09/15/2021	08:50	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		488.05	ug/l	Filtered, field	4500-N	APHA			
KCP	KCP210915:SR:WB:	Sample-Routine	09/15/2021	08:50	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		26.29	ug/l	Filtered, field	4500-P	APHA			
KCP	KCP210915:SR:WB:	Sample-Routine	09/15/2021	08:50	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		23.94	ug/l	Filtered, field	365.5	USEPA			
KCP	KCP210915:SR:WB:	Sample-Routine	09/15/2021	08:50	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			2405.42	ug/l	Filtered, field	366	USEPA			
KCP	KCP210915:SR:WB:	Sample-Routine	09/15/2021	08:50	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		355.00	ug/l	Filtered, field	353.4	USEPA			
KCP	KCP210915:SR:WB:	Sample-Routine	09/15/2021	08:50	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		14.77	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
MMB	MMB210915:FM:PS:TS:	Field Msr/Obs	09/15/2021	09:47	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			27.3	deg C		2550	APHA			
MMB	MMB210915:FM:PS:DO:	Field Msr/Obs	09/15/2021	09:47	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.29	mg/l		8157	HACH			
MMB	MMB210915:FM:PS:DO:	Field Msr/Obs	09/15/2021	09:47	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			97.1	%		8157	HACH			
MMB	MMB210915:FM:WB:	Field Msr/Obs	09/15/2021	09:47	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			1.01	NTU		180.1	USEPA			
MMB	MMB210915:FM:PS:PH:	Field Msr/Obs	09/15/2021	09:47	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.15	None		8156	HACH			
MMB	MMB210915:FM:PS:TS:	Field Msr/Obs	09/15/2021	09:47	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			35.4	ppt		8160	HACH			
MMB	MMB210915:SR:WB:	Sample-Routine	09/15/2021	09:47	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		113.45	ug/l	Filtered, field	4500-N	APHA			
MMB	MMB210915:SR:WB:	Sample-Routine	09/15/2021	09:47	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		10.27	ug/l	Filtered, field	4500-P	APHA			
MMB	MMB210915:SR:WB:	Sample-Routine	09/15/2021	09:47	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		4.88	ug/l	Filtered, field	365.5	USEPA			
MMB	MMB210915:SR:WB:	Sample-Routine	09/15/2021	09:47	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			306.51	ug/l	Filtered, field	366	USEPA			
MMB	MMB210915:SR:WB:	Sample-Routine	09/15/2021	09:47	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		31.28	ug/l	Filtered, field	353.4	USEPA			
