Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
RNS	RNS170418:FM:PS:TS:	Field Msr/Obs	04/18/2017	07:48	1002	Probe/Sensor	HACH CDC401	Temperature, water			24.8	deg C		2550	APHA			
RNS	RNS170418:FM:PS:DO:	Field Msr/Obs	04/18/2017	07:48	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.84	mg/l		8157	HACH			
RNS	RNS170418:FM:PS:DO:	Field Msr/Obs	04/18/2017	07:48	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			99.5	%		8157	HACH			
RNS	RNS170418:FM:WB:	Field Msr/Obs	04/18/2017	07:48	1002	Water Bottle	HACH 2100Q	Turbidity			1.00	NTU		180.1	USEPA			
RNS	RNS170418:FM:PS:PH:	Field Msr/Obs	04/18/2017	07:48	1002	Probe/Sensor	HACH PHC101	pH			8.15	None		8156	HACH			
RNS	RNS170418:FM:PS:TS:	Field Msr/Obs	04/18/2017	07:48	1002	Probe/Sensor	HACH CDC401	Salinity			34.0	ppt		8160	HACH			
RNS	RNS170418:SR:WB:	Sample-Routine	04/18/2017	07:48	1002	Water Bottle		Total Nitrogen, mixed forms	as N		161.44	ug/l	Filtered, field	4500-N	APHA			
RNS	RNS170418:SR:WB:	Sample-Routine	04/18/2017	07:48	1002	Water Bottle		Total Phosphorus, mixed forms	as P		13.29	ug/l	Filtered, field	4500-P	APHA			
RNS	RNS170418:SR:WB:	Sample-Routine	04/18/2017	07:48	1002	Water Bottle		Orthophosphate	as P		9.28	ug/l	Filtered, field	365.5	USEPA			
RNS	RNS170418:SR:WB:	Sample-Routine	04/18/2017	07:48	1002	Water Bottle		Silicate			437.66	ug/l	Filtered, field	366	USEPA			
RNS	RNS170418:SR:WB:	Sample-Routine	04/18/2017	07:48	1002	Water Bottle		Nitrate + Nitrite	as N		20.27	ug/l	Filtered, field	353.4	USEPA			
RNS	RNS170418:SR:WB:	Sample-Routine	04/18/2017	07:48	1002	Water Bottle		Ammonium	as N		6.27	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
RPO	RPO170418:FM:PS:TS:	Field Msr/Obs	04/18/2017	08:12	1002	Probe/Sensor	HACH CDC401	Temperature, water			24.8	deg C		2550	APHA			
RPO	RPO170418:FM:PS:DO:	Field Msr/Obs	04/18/2017	08:12	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.59	mg/l		8157	HACH			
RPO	RPO170418:FM:PS:DO:	Field Msr/Obs	04/18/2017	08:12	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			94.6	%		8157	HACH			
RPO	RPO170418:FM:WB:	Field Msr/Obs	04/18/2017	08:12	1002	Water Bottle	HACH 2100Q	Turbidity			3.24	NTU		180.1	USEPA			
RPO	RPO170418:FM:PS:PH:	Field Msr/Obs	04/18/2017	08:12	1002	Probe/Sensor	HACH PHC101	pH			8.17	None		8156	HACH			
