Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Project ID 1	Project ID 2	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
RKS	RKS160712:FM:PS:TS:	Field Msr/Obs	07/12/2016	07:49	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			26.0	deg C		2550	APHA			
RKS	RKS160712:FM:PS:DO:	Field Msr/Obs	07/12/2016	07:49	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.53	mg/l		8157	HACH			
RKS	RKS160712:FM:PS:DO:	Field Msr/Obs	07/12/2016	07:49	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			100.1	%		8157	HACH			
RKS	RKS160712:FM:WB:	Field Msr/Obs	07/12/2016	07:49	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			3.90	NTU		180.1	USEPA			
RKS	RKS160712:FM:PS:PH:	Field Msr/Obs	07/12/2016	07:49	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.07	None		8156	HACH			
RKS	RKS160712:SR:WB:	Sample-Routine	07/12/2016	07:49	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		73.05	ug/l	Filtered, field	4500-N	APHA			
RKS	RKS160712:SR:WB:	Sample-Routine	07/12/2016	07:49	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		14.52	ug/l	Filtered, field	4500-P	APHA			
RKS	RKS160712:SR:WB:	Sample-Routine	07/12/2016	07:49	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		6.85	ug/l	Filtered, field	365.5	USEPA			
RKS	RKS160712:SR:WB:	Sample-Routine	07/12/2016	07:49	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			680.64	ug/l	Filtered, field	366	USEPA			
RKS	RKS160712:SR:WB:	Sample-Routine	07/12/2016	07:49	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		2.96	ug/l	Filtered, field	353.4	USEPA			
