Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
KKS	KKS201103:SR:WB:	Sample-Routine	11/03/2020	08:18	1002	Water Bottle		Total Nitrogen, mixed forms	as N		126.41	ug/l	Filtered, field	4500-N	APHA			
KKS	KKS201103:SR:WB:	Sample-Routine	11/03/2020	08:18	1002	Water Bottle		Total Phosphorus, mixed forms	as P		9.91	ug/l	Filtered, field	4500-P	APHA			
KKS	KKS201103:SR:WB:	Sample-Routine	11/03/2020	08:18	1002	Water Bottle		Orthophosphate	as P		6.47	ug/l	Filtered, field	365.5	USEPA			
KKS	KKS201103:SR:WB:	Sample-Routine	11/03/2020	08:18	1002	Water Bottle		Silicate			511.77	ug/l	Filtered, field	366	USEPA			
KKS	KKS201103:SR:WB:	Sample-Routine	11/03/2020	08:18	1002	Water Bottle		Nitrate + Nitrite	as N		31.18	ug/l	Filtered, field	353.4	USEPA			
KKS	KKS201103:SR:WB:	Sample-Routine	11/03/2020	08:18	1002	Water Bottle		Ammonium	as N		2.38	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
KKP	KKP201103:FM:PS:TS:	Field Msr/Obs	11/03/2020	08:36	1002	Probe/Sensor	HACH CDC401	Temperature, water			27.5	deg C		2550	APHA			
KKP	KKP201103:FM:PS:DO:	Field Msr/Obs	11/03/2020	08:36	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			5.98	mg/l		8157	HACH			
KKP	KKP201103:FM:PS:DO:	Field Msr/Obs	11/03/2020	08:36	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			91.6	%		8157	HACH			
KKP	KKP201103:FM:WB:	Field Msr/Obs	11/03/2020	08:36	1002	Water Bottle	HACH 2100Q	Turbidity			3.18	NTU		180.1	USEPA			
KKP	KKP201103:FM:PS:PH:	Field Msr/Obs	11/03/2020	08:36	1002	Probe/Sensor	HACH PHC101	pH			8.08	None		8156	HACH			
KKP	KKP201103:FM:PS:TS:	Field Msr/Obs	11/03/2020	08:36	1002	Probe/Sensor	HACH CDC401	Salinity			34.4	ppt		8160	HACH			
KKP	KKP201103:SR:WB:	Sample-Routine	11/03/2020	08:36	1002	Water Bottle		Total Nitrogen, mixed forms	as N		135.71	ug/l	Filtered, field	4500-N	APHA			
KKP	KKP201103:SR:WB:	Sample-Routine	11/03/2020	08:36	1002	Water Bottle		Total Phosphorus, mixed forms	as P		8.74	ug/l	Filtered, field	4500-P	APHA			
KKP	KKP201103:SR:WB:	Sample-Routine	11/03/2020	08:36	1002	Water Bottle		Orthophosphate	as P		5.38	ug/l	Filtered, field	365.5	USEPA			
KKP	KKP201103:SR:WB:	Sample-Routine	11/03/2020	08:36	1002	Water Bottle		Silicate			331.32	ug/l	Filtered, field	366	USEPA			
KKP	KKP201103:SR:WB:	Sample-Routine	11/03/2020	08:36	1002	Water Bottle		Nitrate + Nitrite	as N		17.29	ug/l	Filtered, field	353.4	USEPA			
KKP	KKP201103:SR:WB:	Sample-Routine	11/03/2020	08:36	1002	Water Bottle		Ammonium	as N		4.54	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
KCP	KCP201103:FM:PS:TS:	Field Msr/Obs	11/03/2020	08:52	1002	Probe/Sensor	HACH CDC401	Temperature, water			27.2	deg C		2550	APHA			
KCP	KCP201103:FM:PS:DO:	Field Msr/Obs	11/03/2020	08:52	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			5.79	mg/l		8157	HACH			
KCP	KCP201103:FM:PS:DO:	Field Msr/Obs	11/03/2020	08:52	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			88.1	%		8157	HACH			
KCP	KCP201103:FM:WB:	Field Msr/Obs	11/03/2020	08:52	1002	Water Bottle	HACH 2100Q	Turbidity			3.18	NTU		180.1	USEPA			
KCP	KCP201103:FM:PS:PH:	Field Msr/Obs	11/03/2020	08:52	1002	Probe/Sensor	HACH PHC101	pH			8.09	None		8156	HACH			
KCP	KCP201103:FM:PS:TS:	Field Msr/Obs	11/03/2020	08:52	1002	Probe/Sensor	HACH CDC401	Salinity			34.0	ppt		8160	HACH			
KCP	KCP201103:SR:WB:	Sample-Routine	11/03/2020	08:52	1002	Water Bottle		Total Nitrogen, mixed forms	as N		307.28	ug/l	Filtered, field	4500-N	APHA			
KCP	KCP201103:SR:WB:	Sample-Routine	11/03/2020	08:52	1002	Water Bottle		Total Phosphorus, mixed forms	as P		18.16	ug/l	Filtered, field	4500-P	APHA			
KCP	KCP201103:SR:WB:	Sample-Routine	11/03/2020	08:52	1002	Water Bottle		Orthophosphate	as P		16.22	ug/l	Filtered, field	365.5	USEPA			
KCP	KCP201103:SR:WB:	Sample-Routine	11/03/2020	08:52	1002	Water Bottle		Silicate			1196.01	ug/l	Filtered, field	366	USEPA			
KCP	KCP201103:SR:WB:	Sample-Routine	11/03/2020	08:52	1002	Water Bottle		Nitrate + Nitrite	as N		189.80	ug/l	Filtered, field	353.4	USEPA			
