Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
KKS	KKS200922:SR:WB:	Sample-Routine	09/22/2020	08:30	1002	Water Bottle		Total Nitrogen, mixed forms	as N		156.36	ug/l	Filtered, field	4500-N	APHA			
KKS	KKS200922:SR:WB:	Sample-Routine	09/22/2020	08:30	1002	Water Bottle		Total Phosphorus, mixed forms	as P		8.43	ug/l	Filtered, field	4500-P	APHA			
KKS	KKS200922:SR:WB:	Sample-Routine	09/22/2020	08:30	1002	Water Bottle		Orthophosphate	as P		7.08	ug/l	Filtered, field	365.5	USEPA			
KKS	KKS200922:SR:WB:	Sample-Routine	09/22/2020	08:30	1002	Water Bottle		Silicate			721.56	ug/l	Filtered, field	366	USEPA			
KKS	KKS200922:SR:WB:	Sample-Routine	09/22/2020	08:30	1002	Water Bottle		Nitrate + Nitrite	as N		46.44	ug/l	Filtered, field	353.4	USEPA			
KKS	KKS200922:SR:WB:	Sample-Routine	09/22/2020	08:30	1002	Water Bottle		Ammonium	as N		4.82	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
KKP	KKP200922:FM:PS:TS:	Field Msr/Obs	09/22/2020	08:49	1002	Probe/Sensor	HACH CDC401	Temperature, water			26.7	deg C		2550	APHA			
KKP	KKP200922:FM:PS:DO:	Field Msr/Obs	09/22/2020	08:49	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.79	mg/l		8157	HACH			
KKP	KKP200922:FM:PS:DO:	Field Msr/Obs	09/22/2020	08:49	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			102.9	%		8157	HACH			
KKP	KKP200922:FM:WB:	Field Msr/Obs	09/22/2020	08:49	1002	Water Bottle	HACH 2100Q	Turbidity			17.63	NTU		180.1	USEPA			
KKP	KKP200922:FM:PS:PH:	Field Msr/Obs	09/22/2020	08:49	1002	Probe/Sensor	HACH PHC101	pH			8.12	None		8156	HACH			
KKP	KKP200922:FM:PS:TS:	Field Msr/Obs	09/22/2020	08:49	1002	Probe/Sensor	HACH CDC401	Salinity			34.3	ppt		8160	HACH			
KKP	KKP200922:SR:WB:	Sample-Routine	09/22/2020	08:49	1002	Water Bottle		Total Nitrogen, mixed forms	as N		149.62	ug/l	Filtered, field	4500-N	APHA			
KKP	KKP200922:SR:WB:	Sample-Routine	09/22/2020	08:49	1002	Water Bottle		Total Phosphorus, mixed forms	as P		8.80	ug/l	Filtered, field	4500-P	APHA			
KKP	KKP200922:SR:WB:	Sample-Routine	09/22/2020	08:49	1002	Water Bottle		Orthophosphate	as P		4.91	ug/l	Filtered, field	365.5	USEPA			
KKP	KKP200922:SR:WB:	Sample-Routine	09/22/2020	08:49	1002	Water Bottle		Silicate			395.36	ug/l	Filtered, field	366	USEPA			
KKP	KKP200922:SR:WB:	Sample-Routine	09/22/2020	08:49	1002	Water Bottle		Nitrate + Nitrite	as N		57.35	ug/l	Filtered, field	353.4	USEPA			
KKP	KKP200922:SR:WB:	Sample-Routine	09/22/2020	08:49	1002	Water Bottle		Ammonium	as N		6.67	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
KCP	KCP200922:FM:PS:TS:	Field Msr/Obs	09/22/2020	09:04	1002	Probe/Sensor	HACH CDC401	Temperature, water			27.5	deg C		2550	APHA			
KCP	KCP200922:FM:PS:DO:	Field Msr/Obs	09/22/2020	09:04	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.38	mg/l		8157	HACH			
KCP	KCP200922:FM:PS:DO:	Field Msr/Obs	09/22/2020	09:04	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			97.5	%		8157	HACH			
KCP	KCP200922:FM:WB:	Field Msr/Obs	09/22/2020	09:04	1002	Water Bottle	HACH 2100Q	Turbidity			3.70	NTU		180.1	USEPA			
KCP	KCP200922:FM:PS:PH:	Field Msr/Obs	09/22/2020	09:04	1002	Probe/Sensor	HACH PHC101	pH			8.10	None		8156	HACH			
KCP	KCP200922:FM:PS:TS:	Field Msr/Obs	09/22/2020	09:04	1002	Probe/Sensor	HACH CDC401	Salinity			34.4	ppt		8160	HACH			
KCP	KCP200922:SR:WB:	Sample-Routine	09/22/2020	09:04	1002	Water Bottle		Total Nitrogen, mixed forms	as N		230.70	ug/l	Filtered, field	4500-N	APHA			
KCP	KCP200922:SR:WB:	Sample-Routine	09/22/2020	09:04	1002	Water Bottle		Total Phosphorus, mixed forms	as P		16.76	ug/l	Filtered, field	4500-P	APHA			
KCP	KCP200922:SR:WB:	Sample-Routine	09/22/2020	09:04	1002	Water Bottle		Orthophosphate	as P		12.82	ug/l	Filtered, field	365.5	USEPA			
KCP	KCP200922:SR:WB:	Sample-Routine	09/22/2020	09:04	1002	Water Bottle		Silicate			650.85	ug/l	Filtered, field	366	USEPA			
KCP	KCP200922:SR:WB:	Sample-Routine	09/22/2020	09:04	1002	Water Bottle		Nitrate + Nitrite	as N		120.54	ug/l	Filtered, field	353.4	USEPA			
KCP	KCP200922:SR:WB:	Sample-Routine	09/22/2020	09:04	1002	Water Bottle		Ammonium	as N		26.75	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
WKD	WKD200923:FM:PS:TS:	Field Msr/Obs	09/23/2020	07:56	1002	Probe/Sensor	HACH CDC401	Temperature, water			27.0	deg C		2550	APHA			
WKD	WKD200923:FM:PS:DO:	Field Msr/Obs	09/23/2020	07:56	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.71	mg/l		8157	HACH			
WKD	WKD200923:FM:PS:DO:	Field Msr/Obs	09/23/2020	07:56	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			102.1	%		8157	HACH			
WKD	WKD200923:FM:WB:	Field Msr/Obs	09/23/2020	07:56	1002	Water Bottle	HACH 2100Q	Turbidity			1.50	NTU		180.1	USEPA			
WKD	WKD200923:FM:PS:PH:	Field Msr/Obs	09/23/2020	07:56	1002	Probe/Sensor	HACH PHC101	pH			8.13	None		8156	HACH			
WKD	WKD200923:FM:PS:TS:	Field Msr/Obs	09/23/2020	07:56	1002	Probe/Sensor	HACH CDC401	Salinity			35.2	ppt		8160	HACH			
WKD	WKD200923:SR:WB:	Sample-Routine	09/23/2020	07:56	1002	Water Bottle		Total Nitrogen, mixed forms	as N		105.96	ug/l	Filtered, field	4500-N	APHA			
WKD	WKD200923:SR:WB:	Sample-Routine	09/23/2020	07:56	1002	Water Bottle		Total Phosphorus, mixed forms	as P		6.19	ug/l	Filtered, field	4500-P	APHA			
WKD	WKD200923:SR:WB:	Sample-Routine	09/23/2020	07:56	1002	Water Bottle		Orthophosphate	as P		2.91	ug/l	Filtered, field	365.5	USEPA			
WKD	WKD200923:SR:WB:	Sample-Routine	09/23/2020	07:56	1002	Water Bottle		Silicate			81.64	ug/l	Filtered, field	366	USEPA			
WKD	WKD200923:SR:WB:	Sample-Routine	09/23/2020	07:56	1002	Water Bottle		Nitrate + Nitrite	as N		11.44	ug/l	Filtered, field	353.4	USEPA			
