Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
RKS	RKS210406:SR:WB:	Sample-Routine	04/06/2021	09:03	1002	Water Bottle		Total Nitrogen, mixed forms	as N		69.57	ug/l	Filtered, field	4500-N	APHA			
RKS	RKS210406:SR:WB:	Sample-Routine	04/06/2021	09:03	1002	Water Bottle		Total Phosphorus, mixed forms	as P		8.93	ug/l	Filtered, field	4500-P	APHA			
RKS	RKS210406:SR:WB:	Sample-Routine	04/06/2021	09:03	1002	Water Bottle		Orthophosphate	as P		7.15	ug/l	Filtered, field	365.5	USEPA			
RKS	RKS210406:SR:WB:	Sample-Routine	04/06/2021	09:03	1002	Water Bottle		Silicate			472.08	ug/l	Filtered, field	366	USEPA			
RKS	RKS210406:SR:WB:	Sample-Routine	04/06/2021	09:03	1002	Water Bottle		Nitrate + Nitrite	as N		9.35	ug/l	Filtered, field	353.4	USEPA			
RKS	RKS210406:SR:WB:	Sample-Routine	04/06/2021	09:03	1002	Water Bottle		Ammonium	as N	Below Method Detection Limit			Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX	Method Detection Level	0.28	ug/l
RKT	RKT210406:FM:PS:TS:	Field Msr/Obs	04/06/2021	09:25	1002	Probe/Sensor	HACH CDC401	Temperature, water			23.5	deg C		2550	APHA			
RKT	RKT210406:FM:PS:DO:	Field Msr/Obs	04/06/2021	09:25	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.90	mg/l		8157	HACH			
RKT	RKT210406:FM:PS:DO:	Field Msr/Obs	04/06/2021	09:25	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			98.4	%		8157	HACH			
RKT	RKT210406:FM:WB:	Field Msr/Obs	04/06/2021	09:25	1002	Water Bottle	HACH 2100Q	Turbidity			6.66	NTU		180.1	USEPA			
