Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
NKN	NKN210105:FM:PS:TS:	Field Msr/Obs	01/05/2021	07:58	1002	Probe/Sensor	HACH CDC401	Temperature, water			25.5	deg C		2550	APHA			
NKN	NKN210105:FM:PS:DO:	Field Msr/Obs	01/05/2021	07:58	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			5.57	mg/l		8157	HACH			
NKN	NKN210105:FM:PS:DO:	Field Msr/Obs	01/05/2021	07:58	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			82.3	%		8157	HACH			
NKN	NKN210105:FM:WB:	Field Msr/Obs	01/05/2021	07:58	1002	Water Bottle	HACH 2100Q	Turbidity			0.72	NTU		180.1	USEPA			
NKN	NKN210105:FM:PS:PH:	Field Msr/Obs	01/05/2021	07:58	1002	Probe/Sensor	HACH PHC101	pH			8.08	None		8156	HACH			
NKN	NKN210105:FM:PS:TS:	Field Msr/Obs	01/05/2021	07:58	1002	Probe/Sensor	HACH CDC401	Salinity			34.9	ppt		8160	HACH			
NKN	NKN210105:SR:WB:	Sample-Routine	01/05/2021	07:58	1002	Water Bottle		Total Nitrogen, mixed forms	as N		135.66	ug/l	Filtered, field	4500-N	APHA			
NKN	NKN210105:SR:WB:	Sample-Routine	01/05/2021	07:58	1002	Water Bottle		Total Phosphorus, mixed forms	as P		10.29	ug/l	Filtered, field	4500-P	APHA			
NKN	NKN210105:SR:WB:	Sample-Routine	01/05/2021	07:58	1002	Water Bottle		Orthophosphate	as P		6.92	ug/l	Filtered, field	365.5	USEPA			
NKN	NKN210105:SR:WB:	Sample-Routine	01/05/2021	07:58	1002	Water Bottle		Silicate			431.96	ug/l	Filtered, field	366	USEPA			
